# PDB Data Distribution by Resolution
# https://www.rcsb.org/stats/distribution_resolution
# accessed Jul-19-2019
< 1.0,673
1,2529
1.2,4938
1.4,10713
1.6,16773
1.8,23632
2,20830
2.2,16522
2.4,13032
2.6,9596
2.8,7786
3,4677
3.2,2768
3.4,1499
3.6,661
3.8,521
4,322
4.2,194
4.4,136
> 4.6,783
